Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,70217.875,56738.515625,38962.4453125,654196.1875,,71532.11330213904,57775.928709563996,39048.265676624454,686145.25,,65805.78927139037,51870.65422819972,37374.76857619769,565195.0625,,67401.65006684492,53865.679390822785,37889.69076094439,583451.6875,,8750101,3349914,49730008,385660,
2020-03-23,65148.671875,54982.89453125,36473.65234375,663324.5,,67213.90354827089,56658.71569983672,37374.766107536765,691470.125,,63834.43353746397,52828.26731449565,36387.83198529411,616922.1875,,65430.29437590057,53626.27739477504,36559.47270220588,617682.875,,8192363,2391540,41701626,387633,
2020-03-24,73878.9609375,59691.14453125,40292.66015625,724179.9375,,73972.8350937103,60489.15448487634,40292.66015625,748522.125,,67683.26662762072,55701.094763118315,36945.666021865014,681581.125,,68528.13403351334,57057.71168428309,37632.22892122604,688427.375,,7247345,2856282,49801908,334588,
2020-03-25,79323.671875,67431.8671875,41751.6171875,722658.5625,,79511.42021079882,68309.67847633136,42566.91084275437,751564.875,,74911.58598372781,62883.208690828396,40464.31141604573,702880.5,,76976.8176775148,63681.218953402364,42009.07834179085,749282.8125,,8787217,4604452,52735922,283503,
2020-03-26,75756.421875,67751.0625,41022.15234375,694512.875,,82515.359142658,71980.51634275618,42309.458379641736,722658.5625,,75474.79948884758,65676.23608657243,40936.33194135722,693752.1875,,79793.0094098513,68469.27164310953,42051.99717246339,714290.9375,,7895289,3787074,42185129,213030,
2020-03-27,78197.171875,68948.0703125,41451.2421875,673974.1875,,80450.15161689675,71820.90657552084,42652.727468297104,713530.25,,75568.69550945378,67431.85117368345,40206.84671810301,663324.5,,80450.15161689675,71581.50355360244,42566.90709109731,710487.4375,,8085695,2513938,39896178,262914,
2020-03-30,78572.6640625,68150.0625,41368.26171875,684623.875,,79699.15386984767,68948.07259953162,41800.5319561455,687666.6875,,75099.32048984469,65516.62917154567,40244.35910152168,659521.0,,76038.06199596774,66075.2362412178,40676.62933891719,664845.875,,5270037,1743720,26797395,142592,
2020-03-31,78197.171875,70783.4921875,41281.79296875,733308.25,,80262.40330507203,70783.4921875,41930.19809391361,750043.5,,76976.80784813926,68628.86502959415,40763.068868619106,681581.125,,78854.29096638656,69985.48212901635,41497.9280104712,692230.8125,,5333479,2138183,30654261,437509,
2020-04-01,73597.34375,68150.0625,39595.9375,688427.375,,78103.30357142858,71900.7099677986,41411.47175218341,739393.8125,,73597.34375,68070.26149004685,39595.9375,685384.5625,,77070.68777901786,70623.893808548,41022.428698144104,731786.875,,6845675,2139848,27259532,205743,
2020-04-02,75099.3359375,69107.671875,40460.47265625,706684.0,,75099.3359375,69267.27388856813,40503.69965695112,712008.875,,71813.73999023438,66234.83563077367,39206.88963591747,683102.5,,73972.8458984375,68070.25878680716,39941.74864783654,686145.25,,5394371,1487243,21621076,123225,
2020-04-03,74723.84375,68868.25,40633.38671875,711248.125,,75850.33385678392,69426.85689455387,41152.110804521275,727222.6875,,73691.22781878141,68309.64310544611,40244.343654421544,701359.125,,75099.34045226131,69107.6529548088,40979.202775930855,705162.625,,3755301,1170052,22784682,144901,
2020-04-06,78009.4375,70863.296875,42103.09765625,725701.3125,,78197.18584536703,70863.296875,42189.55165554415,742436.5625,,75287.08649217809,68549.06758516328,40849.51466648486,719615.75,,76038.0798736462,69027.8736451295,41065.64966472022,721897.875,,5784159,1688599,23395726,144209,
2020-04-07,80544.015625,72140.1171875,42881.19140625,734068.9375,,81388.88292176573,73815.93849384678,43399.915495841735,739393.8125,,78572.65859921329,70703.69892491703,42362.467316658265,721137.1875,,81295.00877768066,73496.73443549502,42924.418413715975,739393.8125,,6188649,2601711,31524034,116477,
2020-04-08,79323.671875,71820.8984375,42016.6484375,726462.0,,81201.15523298817,73337.11740451389,43010.86954250257,737111.75,,79323.671875,70943.08745659722,42016.6484375,726462.0,,80544.03605769231,71661.29644097222,42881.18852880658,734068.9375,,3749575,1785939,25010314,81629,
2020-04-09,79793.046875,77486.7890625,42448.9296875,727983.375,,81201.15946691176,78125.19721131565,43054.10791115071,734829.625,,79323.67601102941,72698.7279463826,42103.11355969959,721137.1875,,80919.5369485294,73656.34016960608,43010.88089517566,732547.5625,,3555538,3787201,22628058,82328,
2020-04-10,78948.1875,79561.609375,42578.59765625,850455.0,,79229.81004756242,80998.02759842026,42578.59765625,917396.0,,77915.5714922711,76768.5739405717,42059.873623889594,752325.5625,,78854.31331747919,77726.18608951855,42319.2356400698,760693.1875,,3675338,2806785,17839111,1996580,
2020-04-13,76413.5625,78045.390625,41757.28515625,820027.3125,,78291.0456081081,79003.00277990798,42276.00919545807,896096.625,,76131.94003378379,77726.18657336402,41757.28515625,820027.3125,,78103.2972972973,78843.40075408998,42059.874179121376,867190.25,,3615318,1339638,14431800,778836,
2020-04-14,77258.421875,79801.0,42362.4609375,824591.4375,,78572.6599141859,80998.015,42535.36894132653,851976.375,,76225.8062727825,77965.577,41757.282924107145,804813.4375,,77164.54772934386,78683.786,42189.55293367347,824591.4375,,3344109,1582587,14206216,354365,
2020-04-16,76319.6875,79082.8046875,42362.4609375,821548.6875,,77258.42904366543,80200.01888086529,42665.04994419643,841326.6875,,75662.56841943419,78444.39657700555,41973.41792889031,813941.75,,75662.56841943419,78923.20265987639,42665.04994419643,815463.125,,4470072,1341452,23349760,195689,
2020-04-17,78948.1875,80200.015625,44437.359375,861104.6875,,80637.92278537455,82594.04594216419,44956.08341439688,864147.5,,78103.31985731272,79801.0105721393,43486.36530277237,807856.1875,,78478.81658739595,80599.0206778607,43918.63533560311,841326.6875,,6205624,1487879,32041675,510709,
2020-04-20,76976.8203125,77885.796875,43313.4609375,861104.6875,,78760.4295636433,80200.02649526126,44437.36311751497,876318.5625,,76976.8203125,77486.7917680584,43227.0069236527,844369.4375,,78760.4295636433,79801.02138831967,44437.36311751497,851976.375,,5027876,2142176,21866354,310806,
2020-04-21,76319.6875,74613.9296875,42578.59765625,880882.75,,77164.55488929889,77007.95951704546,42967.6406805203,886968.3125,,75287.07180196802,72858.3078125,42103.100626586296,847412.25,,75662.56841943419,76688.75553977273,42708.2786643401,864147.5,,5090721,3634142,27407543,655511,
2020-04-22,78760.4296875,73895.7421875,43097.32421875,882404.125,,78760.4296875,75970.56864200864,43227.00523445336,903703.5625,,75099.33700834327,71342.10962810475,41800.5140617164,870233.0625,,75662.58203590584,72459.32387284018,42103.10309835757,871754.4375,,5335787,3115871,18613864,410971,
2020-04-23,77540.0546875,73736.109375,43097.32421875,914353.25,,79980.78280115013,75890.73594764611,43486.36726586008,925002.9375,,76976.80973819613,73496.70642248377,42794.73518210882,876318.5625,,79980.78280115013,74773.52216923701,43399.91325539117,883925.5,,6519481,3196313,18754442,676043,
2020-04-24,76413.5625,71900.6953125,42665.0546875,899139.375,,77446.17820945945,73656.31717362652,43010.87073359929,917396.0,,75850.31756756756,71900.6953125,42362.46564716312,894575.1875,,76976.80743243243,72858.30723675083,42924.416722074464,909789.0625,,3193144,2135488,15618347,263467,
2020-04-27,77540.0546875,73097.734375,43097.32421875,894575.1875,,78103.29963680387,73815.94355554039,43227.00523445336,906746.3125,,76225.81647245763,71980.5200941594,42448.9191402332,885446.875,,76695.1872635442,72060.32111421943,42665.05416640546,902182.125,,3235430,1219677,14049471,115977,
2020-04-28,78291.0546875,74374.546875,43313.4609375,894575.1875,,78760.42551895983,75332.1590665236,43313.4609375,909789.0625,,77352.31302458033,73576.53671539699,42621.828826721554,886968.3125,,77446.18719087231,73815.9397632779,43097.325902881734,896096.625,,3205535,1448692,16095399,124437,
2020-04-29,78572.6640625,74693.7421875,43227.0078125,883925.5,,79605.27971923536,75012.9462139423,43659.277890625,896096.625,,77821.67085760155,73736.13010817308,42881.19175,883925.5,,78384.91576127539,74613.94118088942,43140.553796875,893053.8125,,3750568,1193284,15604533,103714,
2020-05-04,76038.0703125,73017.9140625,41930.203125,845890.875,,77821.67936921296,74135.12804815573,42448.92728737113,870233.0625,,75850.32199074075,72379.50607069672,41930.203125,844369.4375,,77821.67936921296,72698.71006659836,42276.01923324742,861104.6875,,5280026,1264378,26083749,198998,
2020-05-06,77352.3203125,74374.546875,42535.375,874797.1875,,77446.19448763653,75172.557034603,42535.375,879361.375,,75944.20768545206,73895.7407792382,41930.1969004065,850455.0,,76976.82361195388,74454.3478909603,42362.466971544716,853497.8125,,3351424,1039600,18070225,134364,
2020-05-07,77352.3203125,73895.7421875,42189.56640625,862626.125,,78291.06206386529,74214.94625742441,42621.83655385502,879361.375,,76789.07526168083,73257.33404765118,42103.112376729,861104.6875,,77352.3203125,74055.3442224622,42535.38252433402,868711.625,,2660512,826239,13884411,91325,
2020-05-08,79793.046875,75411.953125,42189.56640625,894575.1875,,80262.41773897059,76130.16220238095,42665.06356861552,911310.4375,,77915.56341911765,74214.93799603175,42189.56640625,867190.25,,77915.56341911765,74214.93799603175,42448.92849481301,868711.625,,5039635,1749677,15319700,288111,
